,features_after_dr,interactions_after_FAST,model,Accuracy_OOS,Precision_OOS,Recall_OOS,F1_Score_OOS,AUROC_OOS,AUPRC_OOS,Accuracy_OOP,Precision_OOP,Recall_OOP,F1_Score_OOP,AUROC_OOP,AUPRC_OOP,path
ebm_none_best_quot,"['n_requests_1', 'diff_avg_vjnbe_requests_3', 'diff_n_requests_3', 'other_hsntsn_requests_3', 'n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['diff_avg_vjnbe_requests_3 x sum_accident_cost', 'diff_avg_vjnbe_requests_3 x age_youngest_driver', 'diff_avg_vjnbe_requests_3 x age_contract_holder', 'diff_avg_vjnbe_requests_3 x n_accident', 'diff_avg_vjnbe_requests_3 x years_driving_license', 'n_requests_1 x sum_accident_cost', 'diff_avg_vjnbe_requests_3 x diff_n_requests_3', 'diff_avg_vjnbe_requests_3 x other_hsntsn_requests_3', 'diff_avg_vjnbe_requests_3 x vehicle_age']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_requests_1',
                                             'diff_avg_vjnbe_requests_3',
                                             'diff_n_requests_3',
                                             'other_hsntsn_requests_3',
                                             'n_accident', 'sum_accident_cost',
                                             'vehicle_age', 'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'diff_avg_vjnbe_requests_3 x '
                                             'sum_acc...
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction'],
                              inner_bags=26, interactions=9,
                              learning_rate=0.013102910576167404, max_leaves=2,
                              min_samples_leaf=4, n_jobs=-1, outer_bags=28,
                              random_state=10, validation_size=0.1111)",0.9912,0.8,0.1941747572815534,0.3125,0.5968347768422518,0.16363980582524273,0.9892,0.7647058823529411,0.1111111111111111,0.19402985074626863,0.5553531878534408,0.0953673202614379,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_none_best_quot.joblib
ebm_none_no_quot,"['n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['age_contract_holder x age_youngest_driver', 'n_accident x years_driving_license', 'age_youngest_driver x years_driving_license', 'n_accident x age_contract_holder', 'vehicle_age x age_youngest_driver', 'sum_accident_cost x vehicle_age']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_accident', 'sum_accident_cost',
                                             'vehicle_age', 'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'age_contract_holder x '
                                             'age_youngest_driver',
                                             'n_accident x '
                                             'years_driving_license',
                                             'age_youngest_driver x '
                                             'years_driving_license...
                                             'sum_accident_cost x vehicle_age'],
                              feature_types=['continuous', 'continuous',
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction'],
                              inner_bags=20, interactions=6,
                              learning_rate=0.013255248059058072, n_jobs=-1,
                              outer_bags=28, random_state=10,
                              validation_size=0.1111)",0.9897,0.0,0.0,0.0,0.5,0.0103,0.9884,1.0,0.008547008547008548,0.016949152542372885,0.5042735042735043,0.02014700854700855,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_none_no_quot.joblib
ebm_down1_best_quot,"['n_requests_1', 'diff_n_requests_1', 'diff_avg_vjnbe_requests_3', 'other_hsntsn_requests_3', 'n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['diff_avg_vjnbe_requests_3 x age_youngest_driver', 'diff_avg_vjnbe_requests_3 x other_hsntsn_requests_3', 'other_hsntsn_requests_3 x age_youngest_driver', 'diff_avg_vjnbe_requests_3 x contract_age_months', 'age_contract_holder x age_youngest_driver', 'diff_avg_vjnbe_requests_3 x vehicle_age', 'sum_accident_cost x years_driving_license', 'diff_n_requests_1 x diff_avg_vjnbe_requests_3', 'n_requests_1 x age_youngest_driver']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_requests_1',
                                             'diff_n_requests_1',
                                             'diff_avg_vjnbe_requests_3',
                                             'other_hsntsn_requests_3',
                                             'n_accident', 'sum_accident_cost',
                                             'vehicle_age', 'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'diff_avg_vjnbe_requests_3 x '
                                             'age_you...
                                             'continuous', 'continuous',
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction'],
                              inner_bags=29, interactions=9,
                              learning_rate=0.011967539577200184, n_jobs=-1,
                              outer_bags=29, random_state=10,
                              validation_size=0.1111)",0.9821,0.2682926829268293,0.42718446601941745,0.3295880149812734,0.7075297898451135,0.12051046649301445,0.9808,0.2302158273381295,0.27350427350427353,0.25,0.6313388007205674,0.07146501260530039,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_down1_best_quot.joblib
ebm_down1_no_quot,"['n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['sum_accident_cost x years_driving_license', 'sum_accident_cost x age_contract_holder', 'sum_accident_cost x contract_age_months', 'vehicle_age x age_contract_holder', 'age_contract_holder x age_youngest_driver', 'age_youngest_driver x years_driving_license', 'vehicle_age x years_driving_license', 'vehicle_age x age_youngest_driver', 'contract_age_months x years_driving_license']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_accident', 'sum_accident_cost',
                                             'vehicle_age', 'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'sum_accident_cost x '
                                             'years_driving_license',
                                             'sum_accident_cost x '
                                             'age_contract_holder',
                                             'sum_accident_cost x '
                                             'contract_age_month...
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction'],
                              inner_bags=26, interactions=9,
                              learning_rate=0.013102910576167404, max_leaves=2,
                              min_samples_leaf=4, n_jobs=-1, outer_bags=28,
                              random_state=10, validation_size=0.1111)",0.9818,0.17355371900826447,0.20388349514563106,0.1875,0.5968897116023194,0.043584738826927705,0.9778,0.11678832116788321,0.13675213675213677,0.12598425196850394,0.5622544453870975,0.026071052467402836,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_down1_no_quot.joblib
ebm_down2_best_quot,"['n_requests_1', 'diff_avg_vjnbe_requests_3', 'diff_n_requests_3', 'other_hsntsn_requests_3', 'n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['diff_avg_vjnbe_requests_3 x age_youngest_driver', 'diff_avg_vjnbe_requests_3 x n_accident', 'other_hsntsn_requests_3 x vehicle_age', 'diff_avg_vjnbe_requests_3 x age_contract_holder', 'diff_avg_vjnbe_requests_3 x years_driving_license', 'diff_avg_vjnbe_requests_3 x contract_age_months', 'diff_avg_vjnbe_requests_3 x other_hsntsn_requests_3', 'diff_avg_vjnbe_requests_3 x sum_accident_cost', 'n_requests_1 x age_youngest_driver']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_requests_1',
                                             'diff_avg_vjnbe_requests_3',
                                             'diff_n_requests_3',
                                             'other_hsntsn_requests_3',
                                             'n_accident', 'sum_accident_cost',
                                             'vehicle_age', 'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'diff_avg_vjnbe_requests_3 x '
                                             'age_you...
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction'],
                              inner_bags=26, interactions=9,
                              learning_rate=0.013102910576167404, max_leaves=2,
                              min_samples_leaf=4, n_jobs=-1, outer_bags=28,
                              random_state=10, validation_size=0.1111)",0.9911,0.675,0.2621359223300971,0.37762237762237766,0.630411196488884,0.18454174757281555,0.9885,0.5294117647058824,0.15384615384615385,0.23841059602649006,0.5761136061146179,0.09134796380090499,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_down2_best_quot.joblib
ebm_down2_no_quot,"['n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['n_accident x age_youngest_driver', 'n_accident x age_contract_holder', 'n_accident x years_driving_license', 'sum_accident_cost x vehicle_age', 'age_contract_holder x age_youngest_driver', 'vehicle_age x age_contract_holder']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_accident', 'sum_accident_cost',
                                             'vehicle_age', 'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'n_accident x age_youngest_driver',
                                             'n_accident x age_contract_holder',
                                             'n_accident x '
                                             'years_driving_license',
                                             'sum_accident_cost x veh...
                                             'age_contract_holder'],
                              feature_types=['continuous', 'continuous',
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction'],
                              inner_bags=20, interactions=6,
                              learning_rate=0.013255248059058072, n_jobs=-1,
                              outer_bags=28, random_state=10,
                              validation_size=0.1111)",0.9897,0.0,0.0,0.0,0.5,0.0103,0.9883,0.5,0.008547008547008548,0.016806722689075633,0.5042229123479756,0.015873504273504275,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_down2_no_quot.joblib
ebm_down3_best_quot,"['n_requests_1', 'other_hsntsn_requests_3', 'diff_avg_vjnbe_requests_3', 'diff_n_requests_3', 'n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['contract_age_months x age_contract_holder', 'vehicle_age x age_youngest_driver', 'vehicle_age x age_contract_holder', 'diff_n_requests_3 x vehicle_age', 'vehicle_age x contract_age_months', 'contract_age_months x years_driving_license', 'vehicle_age x years_driving_license', 'age_youngest_driver x years_driving_license', 'sum_accident_cost x years_driving_license']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_requests_1',
                                             'other_hsntsn_requests_3',
                                             'diff_avg_vjnbe_requests_3',
                                             'diff_n_requests_3', 'n_accident',
                                             'sum_accident_cost', 'vehicle_age',
                                             'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'contract_age_months x '
                                             'age_contract_...
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction'],
                              inner_bags=26, interactions=9,
                              learning_rate=0.013102910576167404, max_leaves=2,
                              min_samples_leaf=4, n_jobs=-1, outer_bags=28,
                              random_state=10, validation_size=0.1111)",0.805,0.04123199205166418,0.8058252427184466,0.07844990548204159,0.8054083271286484,0.03522578000279735,0.7941,0.041981132075471696,0.7606837606837606,0.07957085382208313,0.7775896795931199,0.034734365424931454,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_down3_best_quot.joblib
ebm_down3_no_quot,"['n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['vehicle_age x age_youngest_driver', 'age_youngest_driver x years_driving_license', 'age_contract_holder x age_youngest_driver', 'contract_age_months x age_contract_holder', 'vehicle_age x age_contract_holder', 'contract_age_months x years_driving_license', 'contract_age_months x age_youngest_driver', 'sum_accident_cost x age_youngest_driver', 'sum_accident_cost x years_driving_license']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_accident', 'sum_accident_cost',
                                             'vehicle_age', 'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'vehicle_age x '
                                             'age_youngest_driver',
                                             'age_youngest_driver x '
                                             'years_driving_license',
                                             'age_contract_holder x '
                                             'age_youngest_driver'...
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction'],
                              inner_bags=26, interactions=9,
                              learning_rate=0.013102910576167404, max_leaves=2,
                              min_samples_leaf=4, n_jobs=-1, outer_bags=28,
                              random_state=10, validation_size=0.1111)",0.7645,0.03394039735099338,0.7961165048543689,0.06510520047637952,0.7801437328758053,0.02912051051244133,0.7491,0.03535353535353535,0.7777777777777778,0.06763285024154589,0.7632691378011625,0.03009719416386083,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_down3_no_quot.joblib
ebm_up1_best_quot,"['n_requests_1', 'diff_avg_vjnbe_requests_3', 'diff_n_requests_3', 'other_hsntsn_requests_3', 'n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['age_contract_holder x age_youngest_driver', 'age_youngest_driver x years_driving_license', 'sum_accident_cost x vehicle_age', 'contract_age_months x years_driving_license', 'contract_age_months x age_contract_holder', 'diff_n_requests_3 x age_contract_holder', 'diff_n_requests_3 x contract_age_months', 'diff_n_requests_3 x years_driving_license', 'sum_accident_cost x age_contract_holder']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_requests_1',
                                             'diff_avg_vjnbe_requests_3',
                                             'diff_n_requests_3',
                                             'other_hsntsn_requests_3',
                                             'n_accident', 'sum_accident_cost',
                                             'vehicle_age', 'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'age_contract_holder x '
                                             'age_youngest_...
                                             'continuous', 'continuous',
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction'],
                              inner_bags=29, interactions=9,
                              learning_rate=0.011967539577200184, n_jobs=-1,
                              outer_bags=29, random_state=10,
                              validation_size=0.1111)",0.9822,0.25806451612903225,0.3883495145631068,0.31007751937984496,0.6883649159154829,0.10651922956467272,0.9805,0.208955223880597,0.23931623931623933,0.22310756972111556,0.614295375552079,0.05890637836458732,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_up1_best_quot.joblib
ebm_up1_no_quot,"['n_accident', 'sum_accident_cost', 'vehicle_age', 'diff_car_holder', 'contract_age_months', 'age_contract_holder', 'age_youngest_driver', 'years_driving_license']","['age_contract_holder x age_youngest_driver', 'age_youngest_driver x years_driving_license', 'sum_accident_cost x vehicle_age', 'vehicle_age x age_contract_holder', 'sum_accident_cost x age_contract_holder', 'contract_age_months x years_driving_license', 'diff_car_holder x age_contract_holder', 'contract_age_months x age_contract_holder', 'vehicle_age x years_driving_license']","ExplainableBoostingClassifier(early_stopping_rounds=30,
                              feature_names=['n_accident', 'sum_accident_cost',
                                             'vehicle_age', 'diff_car_holder',
                                             'contract_age_months',
                                             'age_contract_holder',
                                             'age_youngest_driver',
                                             'years_driving_license',
                                             'age_contract_holder x '
                                             'age_youngest_driver',
                                             'age_youngest_driver x '
                                             'years_driving_license',
                                             'sum_accident_cost x vehicle_age',
                                             've...
                              feature_types=['continuous', 'continuous',
                                             'continuous', 'categorical',
                                             'continuous', 'continuous',
                                             'continuous', 'continuous',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction', 'interaction',
                                             'interaction'],
                              inner_bags=29, interactions=9,
                              learning_rate=0.011967539577200184, n_jobs=-1,
                              outer_bags=29, random_state=10,
                              validation_size=0.1111)",0.9788,0.1342281879194631,0.1941747572815534,0.15873015873015872,0.5905702522388367,0.034363725809604485,0.9743,0.09302325581395349,0.13675213675213677,0.11072664359861592,0.5604837279935935,0.02282112900019877,/Users/abdumaa/Desktop/Uni_Abdu/Master/Masterarbeit/master_thesis_churn_modelling/churn_modelling/modelling/ebm_fits/ebm_fit_ebm_up1_no_quot.joblib
